"Age","DistanceFromHome","MonthlyIncome","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsInCurrentRole","YearsWithCurrManager","Department","EnvironmentSatisfaction","JobInvolvement","JobSatisfaction","JobRole","OverTime","WorkLifeBalance","Attrition"
41,1,5993,8,0,6,4,5,"Sales","Medium","High","Very High","Sales Executive","Yes","Bad","Yes"
49,8,5130,10,3,10,7,7,"Research & Development","High","Medium","Medium","Research Scientist","No","Better","No"
37,2,2090,7,3,0,0,0,"Research & Development","Very High","Medium","High","Laboratory Technician","Yes","Better","Yes"
33,3,2909,8,3,8,7,0,"Research & Development","Very High","High","High","Research Scientist","Yes","Better","No"
27,2,3468,6,3,2,2,2,"Research & Development","Low","High","Medium","Laboratory Technician","No","Better","No"
32,2,3068,8,2,7,7,6,"Research & Development","Very High","High","Very High","Laboratory Technician","No","Good","No"
59,3,2670,12,3,1,0,0,"Research & Development","High","Very High","Low","Laboratory Technician","Yes","Good","No"
30,24,2693,1,2,1,0,0,"Research & Development","Very High","High","High","Laboratory Technician","No","Better","No"
38,23,9526,10,2,9,7,8,"Research & Development","Very High","Medium","High","Manufacturing Director","No","Better","No"
36,27,5237,17,3,7,7,7,"Research & Development","High","High","High","Healthcare Representative","No","Good","No"
35,16,2426,6,5,5,4,3,"Research & Development","Low","Very High","Medium","Laboratory Technician","No","Better","No"
29,15,4193,10,3,9,5,8,"Research & Development","Very High","Medium","High","Laboratory Technician","Yes","Better","No"
31,26,2911,5,1,5,2,3,"Research & Development","Low","High","High","Research Scientist","No","Good","No"
34,19,2661,3,2,2,2,2,"Research & Development","Medium","High","Very High","Laboratory Technician","No","Better","No"
28,24,2028,6,4,4,2,3,"Research & Development","High","Medium","High","Laboratory Technician","Yes","Better","Yes"
29,21,9980,10,1,10,9,8,"Research & Development","Medium","Very High","Low","Manufacturing Director","No","Better","No"
32,5,3298,7,5,6,2,5,"Research & Development","Low","Very High","Medium","Research Scientist","Yes","Good","No"
22,16,2935,1,2,1,0,0,"Research & Development","Very High","Very High","Very High","Laboratory Technician","Yes","Good","No"
