Age,DistanceFromHome,MonthlyIncome,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,Department,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,JobRole,OverTime,WorkLifeBalance,Attrition
0,41,1,5993,8,0,6,4,5,Sales,Medium,High,Very High,Sales Executive,Yes,Bad,Yes
1,49,8,5130,10,3,10,7,7,Research & Development,High,Medium,Medium,Research Scientist,No,Better,No
2,37,2,2090,7,3,0,0,0,Research & Development,Very High,Medium,High,Laboratory Technician,Yes,Better,Yes
3,33,3,2909,8,3,8,7,0,Research & Development,Very High,High,High,Research Scientist,Yes,Better,No
4,27,2,3468,6,3,2,2,2,Research & Development,Low,High,Medium,Laboratory Technician,No,Better,No
5,32,2,3068,8,2,7,7,6,Research & Development,Very High,High,Very High,Laboratory Technician,No,Good,No
6,59,3,2670,12,3,1,0,0,Research & Development,High,Very High,Low,Laboratory Technician,Yes,Good,No
7,30,24,2693,1,2,1,0,0,Research & Development,Very High,High,High,Laboratory Technician,No,Better,No
8,38,23,9526,10,2,9,7,8,Research & Development,Very High,Medium,High,Manufacturing Director,No,Better,No
9,36,27,5237,17,3,7,7,7,Research & Development,High,High,High,Healthcare Representative,No,Good,No
10,35,16,2426,6,5,5,4,3,Research & Development,Low,Very High,Medium,Laboratory Technician,No,Better,No
11,29,15,4193,10,3,9,5,8,Research & Development,Very High,Medium,High,Laboratory Technician,Yes,Better,No
12,31,26,2911,5,1,5,2,3,Research & Development,Low,High,High,Research Scientist,No,Good,No
13,34,19,2661,3,2,2,2,2,Research & Development,Medium,High,Very High,Laboratory Technician,No,Better,No
14,28,24,2028,6,4,4,2,3,Research & Development,High,Medium,High,Laboratory Technician,Yes,Better,Yes
15,29,21,9980,10,1,10,9,8,Research & Development,Medium,Very High,Low,Manufacturing Director,No,Better,No
16,32,5,3298,7,5,6,2,5,Research & Development,Low,Very High,Medium,Research Scientist,Yes,Good,No
17,22,16,2935,1,2,1,0,0,Research & Development,Very High,Very High,Very High,Laboratory Technician,Yes,Good,No
18,53,2,15427,31,3,25,8,7,Sales,Low,Medium,Very High,Manager,No,Better,No
19,38,2,3944,6,3,3,2,2,Research & Development,Very High,High,Very High,Research Scientist,Yes,Better,No
20,24,11,4011,5,5,4,2,3,Research & Development,Low,Very High,High,Manufacturing Director,No,Good,No
21,36,9,3407,10,4,5,3,3,Sales,High,Medium,Low,Sales Representative,No,Better,Yes
22,34,7,11994,13,4,12,6,11,Research & Development,Low,High,Medium,Research Director,No,Better,No
23,21,15,1232,0,6,0,0,0,Research & Development,High,High,Very High,Research Scientist,No,Better,No
24,34,6,2960,8,2,4,2,3,Research & Development,Medium,High,Low,Research Scientist,No,Better,Yes
25,53,5,19094,26,3,14,13,8,Research & Development,High,High,High,Manager,No,Good,No
26,32,16,3919,10,5,10,2,7,Research & Development,Medium,Low,Low,Research Scientist,Yes,Better,Yes
27,42,8,6825,10,2,9,7,2,Sales,High,High,Medium,Sales Executive,No,Better,No
28,44,7,10248,24,4,22,6,17,Research & Development,Low,Medium,Very High,Healthcare Representative,No,Better,No
29,46,2,18947,22,2,2,2,1,Sales,Medium,High,Low,Manager,No,Good,No
30,33,2,2496,7,3,1,1,0,Research & Development,High,High,Very High,Laboratory Technician,No,Better,No
31,44,10,6465,9,5,4,2,3,Research & Development,Very High,High,Very High,Healthcare Representative,Yes,Best,No
