"Age","BusinessTravel","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","JobInvolvement","JobSatisfaction","PerformanceRating","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","OverTime","PercentSalaryHike","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition"
41,"Travel_Rarely","Sales",1,"College","Life Sciences","Medium","Female","High","Very High","Excellent",2,"Sales Executive","Single",5993,8,"Yes",11,"Low",0,8,0,"Bad",6,4,0,5,"Yes"
49,"Travel_Frequently","Research & Development",8,"Below College","Life Sciences","High","Male","Medium","Medium","Outstanding",2,"Research Scientist","Married",5130,1,"No",23,"Very High",1,10,3,"Better",10,7,1,7,"No"
37,"Travel_Rarely","Research & Development",2,"College","Other","Very High","Male","Medium","High","Excellent",1,"Laboratory Technician","Single",2090,6,"Yes",15,"Medium",0,7,3,"Better",0,0,0,0,"Yes"
33,"Travel_Frequently","Research & Development",3,"Master","Life Sciences","Very High","Female","High","High","Excellent",1,"Research Scientist","Married",2909,1,"Yes",11,"High",0,8,3,"Better",8,7,3,0,"No"
27,"Travel_Rarely","Research & Development",2,"Below College","Medical","Low","Male","High","Medium","Excellent",1,"Laboratory Technician","Married",3468,9,"No",12,"Very High",1,6,3,"Better",2,2,2,2,"No"
32,"Travel_Frequently","Research & Development",2,"College","Life Sciences","Very High","Male","High","Very High","Excellent",1,"Laboratory Technician","Single",3068,0,"No",13,"High",0,8,2,"Good",7,7,3,6,"No"
59,"Travel_Rarely","Research & Development",3,"Bachelor","Medical","High","Female","Very High","Low","Outstanding",1,"Laboratory Technician","Married",2670,4,"Yes",20,"Low",3,12,3,"Good",1,0,0,0,"No"
30,"Travel_Rarely","Research & Development",24,"Below College","Life Sciences","Very High","Male","High","High","Outstanding",1,"Laboratory Technician","Divorced",2693,1,"No",22,"Medium",1,1,2,"Better",1,0,0,0,"No"
38,"Travel_Frequently","Research & Development",23,"Bachelor","Life Sciences","Very High","Male","Medium","High","Outstanding",3,"Manufacturing Director","Single",9526,0,"No",21,"Medium",0,10,2,"Better",9,7,1,8,"No"
36,"Travel_Rarely","Research & Development",27,"Bachelor","Medical","High","Male","High","High","Excellent",2,"Healthcare Representative","Married",5237,6,"No",13,"Medium",2,17,3,"Good",7,7,7,7,"No"
